key,locale,value,type,section,parent
ui.entrar,pt,Entrar,text,UI,
ui.entrar,en,Sign in,text,UI,
ui.sair,pt,Sair,text,UI,
ui.sair,en,Sign out,text,UI,
ui.guardar,pt,Guardar,text,UI,
ui.guardar,en,Save,text,UI,
ui.a_guardar,pt,A guardar…,text,UI,
ui.a_guardar,en,Saving…,text,UI,
ui.cancelar,pt,Cancelar,text,UI,
ui.cancelar,en,Cancel,text,UI,
ui.a_cancelar,pt,A cancelar…,text,UI,
ui.a_cancelar,en,Cancelling…,text,UI,
ui.editar,pt,Editar,text,UI,
ui.editar,en,Edit,text,UI,
ui.voltar,pt,Voltar,text,UI,
ui.voltar,en,Back,text,UI,
ui.continuar,pt,Continuar,text,UI,
ui.continuar,en,Continue,text,UI,
ui.a_processar,pt,A processar…,text,UI,
ui.a_processar,en,Processing…,text,UI,
ui.a_enviar,pt,A enviar…,text,UI,
ui.a_enviar,en,Sending…,text,UI,
ui.a_carregar,pt,A carregar…,text,UI,
ui.a_carregar,en,Loading…,text,UI,
ui.nome,pt,Nome,text,UI,
ui.nome,en,Name,text,UI,
ui.email,pt,E-mail,text,UI,
ui.email,en,Email,text,UI,
ui.telemovel,pt,Telemóvel,text,UI,
ui.telemovel,en,Phone,text,UI,
ui.nif,pt,NIF,text,UI,
ui.nif,en,NIF,text,UI,
ui.data,pt,Data,text,UI,
ui.data,en,Date,text,UI,
ui.hora,pt,Hora,text,UI,
ui.hora,en,Time,text,UI,
ui.servico,pt,Serviço,text,UI,
ui.servico,en,Service,text,UI,
ui.preco,pt,Preço,text,UI,
ui.preco,en,Price,text,UI,
ui.estado,pt,Estado,text,UI,
ui.estado,en,Status,text,UI,
ui.notas,pt,Notas,text,UI,
ui.notas,en,Notes,text,UI,
ui.notas_opcional,pt,Notas (opcional),text,UI,
ui.notas_opcional,en,Notes (optional),text,UI,
ui.notas.placeholder,pt,Algum pedido especial?,text,UI,
ui.notas.placeholder,en,Any special request?,text,UI,
ui.status.confirmada,pt,Confirmada,text,UI,
ui.status.confirmada,en,Confirmed,text,UI,
ui.status.cancelada,pt,Cancelada,text,UI,
ui.status.cancelada,en,Cancelled,text,UI,
ui.status.pendente,pt,Pendente,text,UI,
ui.status.pendente,en,Pending,text,UI,
ui.status.concluida,pt,Concluída,text,UI,
ui.status.concluida,en,Completed,text,UI,
nav.inicio,pt,Início,text,Navegação,
nav.inicio,en,Home,text,Navegação,
nav.trabalhos,pt,Trabalhos,text,Navegação,
nav.trabalhos,en,Gallery,text,Navegação,
nav.sobre,pt,Sobre,text,Navegação,
nav.sobre,en,About,text,Navegação,
nav.conta,pt,A minha conta,text,Navegação,
nav.conta,en,My account,text,Navegação,
nav.instalar,pt,Instalar,text,Navegação,
nav.instalar,en,Install,text,Navegação,
nav.instalar.titulo,pt,Instalar a app,text,Navegação,
nav.instalar.titulo,en,Install the app,text,Navegação,
nav.instalar.ios.partilhar,pt,Partilhar,text,Navegação,
nav.instalar.ios.partilhar,en,Share,text,Navegação,
nav.instalar.ios.ecra,pt,Adicionar ao ecrã inicial,text,Navegação,
nav.instalar.ios.ecra,en,Add to Home Screen,text,Navegação,
hero.titulo,pt,Tifas Barber,text,Hero,Homepage
hero.titulo,en,Tifas Barber,text,Hero,Homepage
hero.logo,pt,/logo.png,image,Hero,Homepage
hero.badge,pt,A aceitar marcações · Braga,text,Hero,Homepage
hero.badge,en,Taking bookings · Braga,text,Hero,Homepage
hero.tagline,pt,Onde o cuidado tradicional encontra o estilo moderno. Marca já a tua próxima visita em segundos sem chamadas.,richtext,Hero,Homepage
hero.tagline,en,Where traditional care meets modern style. Book your next visit in seconds — no phone calls needed.,richtext,Hero,Homepage
hero.stat1.valor,pt,7+,text,Hero,Homepage
hero.stat1.label,pt,Anos de experiência,text,Hero,Homepage
hero.stat1.label,en,Years of experience,text,Hero,Homepage
hero.stat2.valor,pt,2k+,text,Hero,Homepage
hero.stat2.label,pt,Clientes satisfeitos,text,Hero,Homepage
hero.stat2.label,en,Happy clients,text,Hero,Homepage
hero.stat3.valor,pt,5.0,text,Hero,Homepage
hero.stat3.label,pt,Estrelas em reviews,text,Hero,Homepage
hero.stat3.label,en,Stars in reviews,text,Hero,Homepage
home.booking.eyebrow,pt,Marcações online,text,Hero,Homepage
home.booking.eyebrow,en,Online bookings,text,Hero,Homepage
home.booking.titulo,pt,Marca o teu,text,Hero,Homepage
home.booking.titulo,en,Book your,text,Hero,Homepage
home.booking.subtitulo,pt,próximo corte,text,Hero,Homepage
home.booking.subtitulo,en,next cut,text,Hero,Homepage
home.contacto.titulo,pt,Onde nos encontrar,text,Contacto,Homepage
home.contacto.titulo,en,Where to find us,text,Contacto,Homepage
home.contacto.morada.label,pt,Morada,text,Contacto,Homepage
home.contacto.morada.label,en,Address,text,Contacto,Homepage
home.contacto.horario.label,pt,Horário,text,Contacto,Homepage
home.contacto.horario.label,en,Hours,text,Contacto,Homepage
contacto.morada1,pt,Rua de Exemplo 25,text,Contacto,Homepage
contacto.morada2,pt,4700-000 Braga,text,Contacto,Homepage
contacto.telefone,pt,+351 912 345 678,phone,Contacto,Homepage
contacto.telefone.href,pt,+351912345678,phone,Contacto,Homepage
contacto.mapa_url,pt,https://www.google.com/maps/search/?api=1&query=Rua+de+Exemplo+25+4700-000+Braga,url,Contacto,Homepage
contacto.horario.dias,pt,Ter–Sáb,text,Contacto,Homepage
contacto.horario.dias,en,Tue–Sat,text,Contacto,Homepage
contacto.horario.manha,pt,9h–13h,text,Contacto,Homepage
contacto.horario.manha,en,9am–1pm,text,Contacto,Homepage
contacto.horario.tarde,pt,14h–19h,text,Contacto,Homepage
contacto.horario.tarde,en,2pm–7pm,text,Contacto,Homepage
redes.instagram,pt,#,url,Redes Sociais,Homepage
redes.facebook,pt,#,url,Redes Sociais,Homepage
redes.whatsapp,pt,#,url,Redes Sociais,Homepage
galeria.label,pt,Trabalhos,text,Galeria,
galeria.label,en,Our work,text,Galeria,
galeria.titulo,pt,Galeria de cortes,text,Galeria,
galeria.titulo,en,Gallery of cuts,text,Galeria,
galeria.descricao,pt,Alguns dos trabalhos mais recentes feitos no estúdio. Fotografias reais adicionadas em breve.,richtext,Galeria,
galeria.descricao,en,Some of the most recent work done in the studio. Real photos coming soon.,richtext,Galeria,
galeria.alt_trabalho,pt,Trabalho,text,Galeria,
galeria.alt_trabalho,en,Work,text,Galeria,
galeria.foto.1,pt,/placeholder.jpg,image,Galeria,
galeria.foto.2,pt,/placeholder.jpg,image,Galeria,
galeria.foto.3,pt,/placeholder.jpg,image,Galeria,
galeria.foto.4,pt,/placeholder.jpg,image,Galeria,
galeria.foto.5,pt,/placeholder.jpg,image,Galeria,
galeria.foto.6,pt,/placeholder.jpg,image,Galeria,
galeria.foto.7,pt,/placeholder.jpg,image,Galeria,
galeria.foto.8,pt,/placeholder.jpg,image,Galeria,
galeria.foto.9,pt,/placeholder.jpg,image,Galeria,
sobre.label,pt,Sobre,text,Sobre,
sobre.label,en,About,text,Sobre,
sobre.titulo,pt,Paixão pela arte de barbear,text,Sobre,
sobre.titulo,en,Passion for the art of barbering,text,Sobre,
sobre.corpo1,pt,O Tiago Fernandes é barbeiro com formação sólida e dedicação ao detalhe. A barbearia em Braga abriu portas com uma missão: fazer cada cliente sair a sentir-se no seu melhor.,richtext,Sobre,
sobre.corpo1,en,Tiago Fernandes is a barber with solid training and dedication to detail. The barbershop in Braga opened with one mission: to make every client leave feeling their best.,richtext,Sobre,
sobre.corpo2,pt,"Especialista em cortes modernos, degradês e tratamentos clássicos — combinando técnicas tradicionais com um olhar actual.",richtext,Sobre,
sobre.corpo2,en,"Specialist in modern cuts, fades and classic treatments — combining traditional techniques with a contemporary eye.",richtext,Sobre,
sobre.foto,pt,/logo.png,image,Sobre,
sobre.especialidade.1,pt,Degradê,text,Sobre,
sobre.especialidade.1,en,Fade,text,Sobre,
sobre.especialidade.2,pt,Barba,text,Sobre,
sobre.especialidade.2,en,Beard,text,Sobre,
sobre.especialidade.3,pt,Clássicos,text,Sobre,
sobre.especialidade.3,en,Classics,text,Sobre,
sobre.especialidade.4,pt,Tratamentos,text,Sobre,
sobre.especialidade.4,en,Treatments,text,Sobre,
auth.login.titulo,pt,Entrar,text,Autenticação,
auth.login.titulo,en,Sign In,text,Autenticação,
auth.register.titulo,pt,Criar conta,text,Autenticação,
auth.register.titulo,en,Create Account,text,Autenticação,
auth.forgot.titulo,pt,Recuperar palavra-passe,text,Autenticação,
auth.forgot.titulo,en,Recover Password,text,Autenticação,
auth.reset.titulo,pt,Nova palavra-passe,text,Autenticação,
auth.reset.titulo,en,New Password,text,Autenticação,
auth.google,pt,Continuar com Google,text,Autenticação,
auth.google,en,Continue with Google,text,Autenticação,
auth.ou,pt,ou,text,Autenticação,
auth.ou,en,or,text,Autenticação,
auth.email.placeholder,pt,o.teu@email.com,text,Autenticação,
auth.email.placeholder,en,your@email.com,text,Autenticação,
auth.password.label,pt,Palavra-passe,text,Autenticação,
auth.password.label,en,Password,text,Autenticação,
auth.password.placeholder,pt,••••••••,text,Autenticação,
auth.password.placeholder,en,••••••••,text,Autenticação,
auth.esqueceu,pt,Esqueceste-te?,text,Autenticação,
auth.esqueceu,en,Forgot it?,text,Autenticação,
auth.sem_conta,pt,Ainda não tens conta?,text,Autenticação,
auth.sem_conta,en,Don't have an account?,text,Autenticação,
auth.registar,pt,Regista-te,text,Autenticação,
auth.registar,en,Register,text,Autenticação,
auth.nome.placeholder,pt,O teu nome completo,text,Autenticação,
auth.nome.placeholder,en,Your full name,text,Autenticação,
auth.telemovel.placeholder,pt,+351 9XX XXX XXX,text,Autenticação,
auth.telemovel.placeholder,en,+351 9XX XXX XXX,text,Autenticação,
auth.enviar_link,pt,Enviar link,text,Autenticação,
auth.enviar_link,en,Send link,text,Autenticação,
auth.voltar_login,pt,Voltar ao login,text,Autenticação,
auth.voltar_login,en,Back to login,text,Autenticação,
auth.email_enviado.titulo,pt,Email enviado!,text,Autenticação,
auth.email_enviado.titulo,en,Email sent!,text,Autenticação,
auth.email_enviado.mensagem,pt,Verifica a tua caixa de entrada e segue as instruções para redefinires a palavra-passe.,richtext,Autenticação,
auth.email_enviado.mensagem,en,Check your inbox and follow the instructions to reset your password.,richtext,Autenticação,
auth.instrucoes_email,pt,Indica o teu e-mail e enviamos-te um link para recuperares a palavra-passe.,richtext,Autenticação,
auth.instrucoes_email,en,Enter your email and we'll send you a link to recover your password.,richtext,Autenticação,
auth.ja_tem_conta,pt,Já tens conta?,text,Autenticação,
auth.ja_tem_conta,en,Already have an account?,text,Autenticação,
auth.entra,pt,Entra,text,Autenticação,
auth.entra,en,Sign in,text,Autenticação,
auth.criar_conta,pt,Criar conta,text,Autenticação,
auth.criar_conta,en,Create account,text,Autenticação,
auth.password_alterada.titulo,pt,Palavra-passe alterada!,text,Autenticação,
auth.password_alterada.titulo,en,Password changed!,text,Autenticação,
auth.password_alterada.mensagem,pt,Já podes entrar com a tua nova palavra-passe.,richtext,Autenticação,
auth.password_alterada.mensagem,en,You can now sign in with your new password.,richtext,Autenticação,
auth.instrucoes_reset,pt,Cria uma nova palavra-passe para a tua conta.,richtext,Autenticação,
auth.instrucoes_reset,en,Create a new password for your account.,richtext,Autenticação,
auth.nova_password.label,pt,Nova palavra-passe,text,Autenticação,
auth.nova_password.label,en,New password,text,Autenticação,
auth.nova_password.placeholder,pt,Mínimo 8 caracteres,text,Autenticação,
auth.nova_password.placeholder,en,Minimum 8 characters,text,Autenticação,
auth.confirmar_password.label,pt,Confirmar palavra-passe,text,Autenticação,
auth.confirmar_password.label,en,Confirm password,text,Autenticação,
auth.confirmar_password.placeholder,pt,Repete a palavra-passe,text,Autenticação,
auth.confirmar_password.placeholder,en,Repeat your password,text,Autenticação,
auth.guardar_password,pt,Guardar palavra-passe,text,Autenticação,
auth.guardar_password,en,Save password,text,Autenticação,
auth.erro.credenciais,pt,E-mail ou palavra-passe incorrectos.,text,Autenticação,
auth.erro.credenciais,en,Incorrect email or password.,text,Autenticação,
auth.erro.token,pt,Link inválido ou expirado.,text,Autenticação,
auth.erro.token,en,Invalid or expired link.,text,Autenticação,
